Datetime,Motor current(mA),Motor Voltage(10mV),Motor electrodynamic force,Door opening time(.1s),Door closing time(.1s),Close command,Open command,DCSR,DCSL,DLSR,DLSL,Door Opened,Door Locked,Door is opening,Door is closing,Door leaf position
2023-7-5-0-0-0-0,115,400,53,24,35,1,0,0,0,0,0,0,0,0,1,700
2023-7-5-0-0-0-20,132,600,93,24,35,1,0,0,0,0,0,0,0,0,1,700
2023-7-5-0-0-0-40,176,700,108,24,35,1,0,0,0,0,0,0,0,0,1,700
2023-7-5-0-0-0-60,317,1000,114,24,35,1,0,0,0,0,0,0,0,0,1,699
2023-7-5-0-0-0-80,503,1500,150,24,35,1,0,0,0,0,0,0,0,0,1,699
2023-7-5-0-0-0-100,667,2000,196,24,35,1,0,0,0,0,0,0,0,0,1,698
2023-7-5-0-0-0-120,826,2500,258,24,35,1,0,0,0,0,0,0,0,0,1,697
2023-7-5-0-0-0-140,958,3100,342,24,35,1,0,0,0,0,0,0,0,0,1,696
2023-7-5-0-0-0-160,1117,3700,416,24,35,1,0,0,0,0,0,0,0,0,1,695
2023-7-5-0-0-0-180,1285,4400,505,24,35,1,0,0,0,0,0,0,0,0,1,693
2023-7-5-0-0-0-200,1376,5000,624,24,35,1,0,0,0,0,0,0,0,0,1,691
2023-7-5-0-0-0-220,1432,5500,736,24,35,1,0,0,0,0,0,0,0,0,1,689
2023-7-5-0-0-0-240,1414,5900,842,24,35,1,0,0,0,0,0,0,0,0,1,686
2023-7-5-0-0-0-260,1329,6100,949,24,35,1,0,0,0,0,0,0,0,0,1,682
2023-7-5-0-0-0-280,1193,6200,1051,24,35,1,0,0,0,0,0,0,0,0,1,678
2023-7-5-0-0-0-300,994,6200,1131,24,35,1,0,0,0,0,0,0,0,0,1,674
2023-7-5-0-0-0-320,782,6000,1194,24,35,1,0,0,0,0,0,0,0,0,1,669
2023-7-5-0-0-0-340,591,5800,1245,24,35,1,0,0,0,0,0,0,0,0,1,664
2023-7-5-0-0-0-360,441,5600,1273,24,35,1,0,0,0,0,0,0,0,0,1,659
2023-7-5-0-0-0-380,326,5500,1306,24,35,1,0,0,0,0,0,0,0,0,1,654
2023-7-5-0-0-0-400,250,5400,1307,24,35,1,0,0,0,0,0,0,0,0,1,648
2023-7-5-0-0-0-420,212,5300,1306,24,35,1,0,0,0,0,0,0,0,0,1,643
2023-7-5-0-0-0-440,191,5200,1306,24,35,1,0,0,0,0,0,0,0,0,1,637
2023-7-5-0-0-0-460,179,5200,1304,24,35,1,0,0,0,0,0,0,0,0,1,632
2023-7-5-0-0-0-480,182,5200,1300,24,35,1,0,0,0,0,0,0,0,0,1,626
2023-7-5-0-0-0-500,200,5200,1292,24,35,1,0,0,0,0,0,0,0,0,1,621
2023-7-5-0-0-0-520,212,5200,1290,24,35,1,0,0,0,0,0,0,0,0,1,615
2023-7-5-0-0-0-540,218,5300,1298,24,35,1,0,0,0,0,0,0,0,0,1,610
2023-7-5-0-0-0-560,220,5300,1298,24,35,1,0,0,0,0,0,0,0,0,1,604
2023-7-5-0-0-0-580,235,5300,1293,24,35,1,0,0,0,0,0,0,0,0,1,599
2023-7-5-0-0-0-600,244,5300,1301,24,35,1,0,0,0,0,0,0,0,0,1,593
2023-7-5-0-0-0-620,238,5300,1305,24,35,1,0,0,0,0,0,0,0,0,1,588
2023-7-5-0-0-0-640,256,5300,1291,24,35,1,0,0,0,0,0,0,0,0,1,582
2023-7-5-0-0-0-660,291,5400,1289,24,35,1,0,0,0,0,0,0,0,0,1,577
2023-7-5-0-0-0-680,320,5400,1286,24,35,1,0,0,0,0,0,0,0,0,1,571
2023-7-5-0-0-0-700,332,5500,1292,24,35,1,0,0,0,0,0,0,0,0,1,566
2023-7-5-0-0-0-720,341,5500,1290,24,35,1,0,0,0,0,0,0,0,0,1,560
2023-7-5-0-0-0-740,335,5500,1304,24,35,1,0,0,0,0,0,0,0,0,1,555
2023-7-5-0-0-0-760,332,5500,1300,24,35,1,0,0,0,0,0,0,0,0,1,550
2023-7-5-0-0-0-780,317,5500,1310,24,35,1,0,0,0,0,0,0,0,0,1,544
2023-7-5-0-0-0-800,297,5500,1319,24,35,1,0,0,0,0,0,0,0,0,1,538
2023-7-5-0-0-0-820,279,5500,1319,24,35,1,0,0,0,0,0,0,0,0,1,533
2023-7-5-0-0-0-840,267,5400,1325,24,35,1,0,0,0,0,0,0,0,0,1,527
2023-7-5-0-0-0-860,256,5400,1327,24,35,1,0,0,0,0,0,0,0,0,1,522
2023-7-5-0-0-0-880,250,5400,1319,24,35,1,0,0,0,0,0,0,0,0,1,516
2023-7-5-0-0-0-900,256,5400,1319,24,35,1,0,0,0,0,0,0,0,0,1,511
2023-7-5-0-0-0-920,250,5400,1319,24,35,1,0,0,0,0,0,0,0,0,1,505
2023-7-5-0-0-0-940,256,5400,1319,24,35,1,0,0,0,0,0,0,0,0,1,499
