segment_id,start_time,end_time,operation,status,n_rows
train_seg_001,2023-7-5-0-0-0-0,2023-7-5-0-0-3-700,Close,Normal,186
train_seg_002,2023-7-5-0-0-23-999,2023-7-5-0-0-26-839,Open,Normal,143
train_seg_003,2023-7-5-0-0-51-266,2023-7-5-0-0-53-986,Open,Abnormal resistance,137
train_seg_004,2023-7-5-0-1-33-989,2023-7-5-0-1-37-709,Close,Abnormal resistance,187
train_seg_005,2023-7-5-0-2-24-608,2023-7-5-0-2-28-308,Close,Abnormal resistance,186
train_seg_006,2023-7-5-0-2-59-77,2023-7-5-0-3-1-937,Open,Normal,144
train_seg_007,2023-7-5-0-3-56-723,2023-7-5-0-3-59-503,Open,Normal,140
train_seg_008,2023-7-5-0-4-37-800,2023-7-5-0-4-40-680,Open,Normal,145
train_seg_009,2023-7-5-0-5-4-993,2023-7-5-0-5-8-713,Close,Abnormal resistance,187
train_seg_010,2023-7-5-0-5-45-986,2023-7-5-0-5-48-826,Open,Normal,143
train_seg_011,2023-7-5-0-6-41-261,2023-7-5-0-6-44-961,Close,Normal,186
train_seg_012,2023-7-5-0-7-14-763,2023-7-5-0-7-17-563,Open,Normal,141
train_seg_013,2023-7-5-0-7-33-804,2023-7-5-0-7-36-524,Open,Abnormal resistance,137
train_seg_014,2023-7-5-0-7-58-252,2023-7-5-0-8-1-812,Close,Normal,179
train_seg_015,2023-7-5-0-8-17-730,2023-7-5-0-8-21-410,Close,Normal,185
train_seg_016,2023-7-5-0-8-44-405,2023-7-5-0-8-47-205,Open,Normal,141
train_seg_017,2023-7-5-0-9-11-186,2023-7-5-0-9-14-46,Open,Abnormal resistance,144
train_seg_018,2023-7-5-0-9-56-76,2023-7-5-0-9-58-996,Open,Abnormal resistance,147
train_seg_019,2023-7-5-0-10-35-983,2023-7-5-0-10-39-683,Close,Normal,186
train_seg_020,2023-7-5-0-11-23-203,2023-7-5-0-11-26-903,Close,Normal,186
train_seg_021,2023-7-5-0-11-42-400,2023-7-5-0-11-45-220,Open,Normal,142
train_seg_022,2023-7-5-0-12-17-355,2023-7-5-0-12-20-215,Open,Normal,144
train_seg_023,2023-7-5-0-13-19-38,2023-7-5-0-13-22-718,Close,Normal,185
train_seg_024,2023-7-5-0-13-40-783,2023-7-5-0-13-43-543,Open,Normal,139
train_seg_025,2023-7-5-0-14-37-719,2023-7-5-0-14-40-539,Open,Normal,142
train_seg_026,2023-7-5-0-15-37-485,2023-7-5-0-15-40-325,Open,Normal,143
train_seg_027,2023-7-5-0-15-58-428,2023-7-5-0-16-1-288,Open,Abnormal resistance,144
train_seg_028,2023-7-5-0-16-53-605,2023-7-5-0-16-56-385,Open,Normal,140
train_seg_029,2023-7-5-0-17-6-600,2023-7-5-0-17-10-280,Close,Normal,185
train_seg_030,2023-7-5-0-18-5-449,2023-7-5-0-18-9-169,Close,Abnormal resistance,187
train_seg_031,2023-7-5-0-18-34-44,2023-7-5-0-18-37-724,Close,Normal,185
train_seg_032,2023-7-5-0-19-30-17,2023-7-5-0-19-32-817,Open,Normal,141
train_seg_033,2023-7-5-0-20-23-918,2023-7-5-0-20-26-758,Open,Normal,143
train_seg_034,2023-7-5-0-21-20-453,2023-7-5-0-21-24-133,Close,Normal,185
train_seg_035,2023-7-5-0-22-16-540,2023-7-5-0-22-19-400,Open,Normal,144
train_seg_036,2023-7-5-0-22-46-759,2023-7-5-0-22-50-439,Close,Normal,185
train_seg_037,2023-7-5-0-23-18-200,2023-7-5-0-23-21-980,Close,Abnormal resistance,190
train_seg_038,2023-7-5-0-24-11-124,2023-7-5-0-24-13-944,Open,Normal,142
train_seg_039,2023-7-5-0-25-10-422,2023-7-5-0-25-13-282,Open,Normal,144
train_seg_040,2023-7-5-0-25-50-832,2023-7-5-0-25-53-652,Open,Normal,142
train_seg_041,2023-7-5-0-26-38-238,2023-7-5-0-26-41-998,Close,Normal,189
train_seg_042,2023-7-5-0-26-53-854,2023-7-5-0-26-56-654,Open,Normal,141
train_seg_043,2023-7-5-0-27-40-473,2023-7-5-0-27-43-333,Open,Normal,144
train_seg_044,2023-7-5-0-28-20-800,2023-7-5-0-28-23-620,Open,Normal,142
train_seg_045,2023-7-5-0-28-51-275,2023-7-5-0-28-55-35,Close,Normal,189
train_seg_046,2023-7-5-0-29-31-944,2023-7-5-0-29-34-724,Open,Normal,140
train_seg_047,2023-7-5-0-30-26-664,2023-7-5-0-30-30-364,Close,Normal,186
train_seg_048,2023-7-5-0-30-43-983,2023-7-5-0-30-46-803,Open,Abnormal resistance,142
train_seg_049,2023-7-5-0-31-3-745,2023-7-5-0-31-6-545,Open,Normal,141
train_seg_050,2023-7-5-0-31-59-892,2023-7-5-0-32-3-672,Close,Normal,190
